Designator,Mid X,Mid Y,Rotation,Layer
J1,139.92,-103.0,270.0,top
VR1,112.0,-116.8625,0.0,top
VR2,140.0,-116.8625,0.0,top
VR3,168.0,-116.8625,0.0,top
