Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x15_P2.54mm_Vertical,1,Conn_01x15,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",100SP4T8B13VS2REH,8,SW_SPDT,
